review,rating
"I had a good meal here and it was a friendly bar tender to keep me company while traveling and got ditched for dinner. I had a great ""brick chicken"" dish...",4
"BLIMEY!  An English pub in the heart of Yorkville?  You better believe it.

Solid fish and chips. Lightly battered scrodfish with hot, crispy fries.  Malt...",4
"Absolutely a fantastic experience. I made a reservation on a Friday for 2 people to celebrate my boyfriends birthday for 5pm reservation. 

Everything from...",5
Unfortunately my experience at Osteria Giulia was less than tantalizing. I found Osteria Giulia to be just ok. I might be slightly harsh in my rating here...,3
Super delicious! Definitely recommend for date night. I liked everything that I ate. My favourites were the burrata appetizer and the truffle gnocchi...,5
Went for lunch on a Friday afternoon. I've always wanted to try this place because the atmosphere and vibe looks very cool. I'm all for gastropub style...,4
A nice atmosphere and reasonable prices for decent food.  A gem in the land of food courts downtown,4
"I love this place. It's cute, it's trendy, and the food is pretty good. The Rabbit Hole has Alice in Wonderland vibes with quirky animal wallpaper on the...",5
"One of my favorites in Toronto...maybe even one of the best for seafood / Italian food.

This place is full of story and history..and it is family operated...",5
You have to make reservations for this place. Can't stress enough it's a very popular spot on weekends and also not that big of a space. We got a table...,4
"Inspired by the Dalmatian Coast, Joso's is a destination in and of itself. There's no shortage of character in this Yorkville restaurant that has stayed in...",4
"I was in Toronto for 6 days for a work event (that had food sometimes), and came here 4 times (just walked from the convention center). I got the standard...",5
"Terrible AWFUL service.

They got our order wrong and then basically yelled at us for questioning why our food was not served. The person taking the order...",2
"Better than I remember and I'm so glad I gave it another try.

The last few times I've been here, service was speedy (it was always like this) and most...",4
"Perfect spot for a lunch date or dinner date, it has the perfect vibe day and night. The menu is outstanding and these are my personal favourites: the...",5
"Ambiance is cool. Decor is great and very well done. Music is great. I really wanted to love this place.

But the food is all overcooked. 

Had the Saigon...",3
"Still a good spot but no longer as much of a favourite. I always order the tacos but now noticed they only give you 2 instead of 3. 

Also got seated but...",3
I really love this place for tacos - all the branches of this chain are great. But this restaurant was particularly fun. It's a bit more intimate than the...,5
"Have you ever wanted to just go somewhere hours away to eat? This is my place. 

Seriously. If we were able to go across the border during this time, we'd...",5
"Ordered from Ubereats 
The packaging was very good and had the boxes were of high quality. The churros were one of the best I've ever had! Crunchy and fresh...",5
I've been here a couple occasions for dinner and brunch. While I love the fusion concept I do find the execution doesn't always hit the mark. This is just...,4
Favourite item: pineapple bun - so tasty! The pineapple bun has a nice crisp on the top but is otherwise so soft and fluffy. It's not as sweet as the...,4
"Great spot but brunch service was underwhelming. Three Monks Banana Split was the best dish (lived up to the hype). Loved their drink ""Hibiscus Kiss""....",4
"Pear Diver is always fresh!! 

We love going on Tuesdays for their special on seafood tower. I believe it's $65 for the whole tower and you get more than...",5
"Are you on a see food diet or seafood diet? 

Well, I was surely on a seafood diet last week as I feasted on these yummy oysters, mackerel and...",5
"Came to Pearl Diver for its Tuesday Seafood Tower Special. I also added a dozen ""Made in Canada 1"" Oysters (so 24 oysters in total). Quite frankly, I don't...",5
"Loved it.
First of all, the food was fantastic. The service and ambience were really stellar too.

Overall, a great spot for a nice dinner.",5
"Called in earlier to see if they had space because they have reserved seating and side tables for walk-in. They said over the phone they'd have some space,...",1
"This was my first time trying Gusto!
 Burrata: my first time trying Burrata! I'd say its more on the bland side of the spectrum in terms of cheeses...",4
Our favorite restaurant we ate at during our first trip to Toronto. Everything was perfect - starting from the interior design & ambiance - then the...,5
"A lovely upscale Filipino inspired restaurant in 
Toronto's Rosedale neighbourhood. This place offers a comfortable lounge ambience paired with really...",5
"(An open letter to Mineral) 

My Dearest Mineral, 

I think I'm in love with you. When we first met back in 2019, I was instantly intrigued by your Filipino...",5
"Wow!  Our family of five (ages 44 to 9) stopped by Steam Whistle after a visit to CN Tower.  Given the area, I was expecting an over-priced, under-flavorful...",5
We came across the Biergarten as we were killing time for our room to be ready for check-in. And with this being our first stop in downtown we were all 3...,4
"Went here after work on a Thursday and it was a fun place to enjoy some drinks and appetizers for a couple hours.

The pineapple shandy was sweet and...",4
"I've been coming here since my university days. Budget friendly meal! It's also tasty each time. 

Just an FYI, they do not have AC. I would avoid going...",5
"Manpuku Japanese Eatery is one of the few places in town that offers udon. It's located inside the OCAD food court.

We dropped in on a packed Tuesday...",4
"Went here with my friends from university and we had a grand time!! 

The food is really good and affordable, the host was gracious and explained everything...",5
"My boyfriend and I recently stayed at the Fairmont Royal York, and we came here two nights out of three. The atmosphere is absolutely top notch, with cozy...",5
"Regal to-be-seen cocktail bar. 

The atmosphere/ambience is happening ritzy spot with well to do clientele. Comfy with close seating but high end furniture....",4
Opulent bar with an old school charm. Our server was a mature gentleman and he's been at the bar since the early days. It was inspirational to see how proud...,5
"A fantastic experience for hotpot. The service is top notch, they gave us so many great tips, helped us with refilling food and poured water for us. Truly...",5
This restaurant was newly opened downtown. We ordered spicy and pepper pork broth pots. The spicy one is really...spicy. I mean the real spicy for Chinese...,5
Came to downtown Toronto Haidilao for their soft opening. It was super busy and my friend and I had to wait about 40 minutes before being seated. Luckily we...,4
"Dropped in for a quick dinner only to be met with the sweetest waitresses and better dressed patrons. Service and food was attentive and good. 

We ordered...",5
Small nondescript Japanese restaurant on Bloor Street east side of yonge. The website shows authentic Japanese food so I was definitely motivated tot try!...,3
This is definitely one of the higher end sushi restaurants in Toronto.  I've probably eaten at over 100 places in Toronto and Yuzuki is in the top 10 for...,4
Make sure you got some money. This is a good place to spend your money quickly! My goal was to try some gelato and it was amazingggg. I asked whats the...,4
"Eataly is a fun and tasty marketplace with a specialty for all things Italian. Serving primarily as a grocery store, Eataly also offers a few in-house food...",4
"Upon coming here a second time, I realized that all the products and food selection here are top notch and very high quality. They carry a lot of imported...",4
"I tried the MoMo House in Parkdale a few years ago, so was happy to discover this location downtown. It's right next to Bay Station and perfect for a quick...",5
"I really wanted to like this location. I have met the owner at the Parkdale location and he is so kind. However, the service and the way they structure this...",2
"This is my first Tibetan restaurant I've been to in Toronto and it was really tasty! 

You might be asking what a Momo is. A Momo is a type of East and...",5
"It was either this or a katsu place, I'm happy that my friend chose this place because this was one of my favourites during my trip in Toronto. My husband...",5
"Amazing hand pulled noodles... The layers of flavors were incredible

We tried one in the broth I wanted to bottle the broth! Then we also tried dry noodle...",4
"I came by on a super rainy and cold day so I was craving some warm soup noodles. 

This location has a dining area towards the back of the restaurant and...",4
"Soya is a Chinese restaurant in the Baldwin village. It is a great spot for Chinese lunches, serving up dishes of all preferences.
Smoked duck breast app -...",5
We've been craving peking duck and decided to try it here. We got the half Peking Duck Set and were very impressed by it. The duck was delicious and the...,4
Hainan chicken rice lunch meal set - well it's pretty good deal with nice garlicky ginger flavor. Tender and juicy chicken and the egg tart is really...,4
Great food! I am vegetarian so options are limited but the ambience and vibe is great. My husband also had some great time.,4
OEB Breakfast Co. was an amazing breakfast experience. The restaurant itself is incredibly cute and has a really cool design. The layout and decor are well...,5
"I have been wanting to try OEB since I saw it pop up on my social media feeds but living further away, I didn't have a chance yet. Well thank you Yelp and...",4
Delicious food and a great ambiance but get there early because they will sell out of a few things by then end of the night.,4
"Love this place, it's truly owned by some of the best people that I have met! Honestly the food was truth amazing and I think it was worth taking the trip...",5
The most value for your money. HUGE portion size. Undoubtedly deserving of your time and attention. This will easily satisfy your hunger for a few hours'...,4
"This 156 Cumberland is a restaurant recommended by the Michelin Guide. You definitely should put this place on the very top of restaurants to try!!

Known...",5
OK... my last review of the year and it's a good one!  I had a couple of other ones I wanted to write up but I didn't want to leave '22 on a sour note.  I...,5
"I'm always down for a Korean fusion place. The service was good and they have a cool selection of mocktails. 

My favourite dish of the night was the...",4
"Have been a few times now and have to say that they have consistently delivered.  Servers are outstanding.  

Went with a group of 7 - everything arrived...",5
"Nice ambience for a quick catch-up with friends. love the music and the overall vibe of the place.

Good drinks options and decent food menu. My go-to place...",4
"King Taps has my favourite pizza! Whenever I come to Toronto with my husband, we make sure to find time to come eat here. 

They used to sell their pizzas...",5
"An all around perfect restaurant.  The building itself is beautiful, the food is absolutely fantastic & the service is second to none.

If you haven't tried...",5
"Had an experience that definitely left a bad impression. I'll explain towards the end since it happened at the end of the meal. 

The initial reservation...",2
"A fabulous option for a special occasion in Toronto. The atmosphere is so cozy yet chic at the same time. Our waiter was awesome; very attentive, and he did...",4
"Completely incredible, had to book restaurant with a $20 reservation fee only for weekends, however you get it back [credited back on your card] once you...",5
"Loved the yucca ""fries"". Also got the Parihuela (seafood soup). Definitely had a few chili pastes in there, and maybe achiote, though I didn't taste the...",3
"Good food, large portions. We ordered ceviche and two mains (secundos) but would have been plenty full with an app, a ceviche and a main! The arroz con...",3
"Excellent shakshuka and mezze platter. Great service, great ambience.This place is special!",5
"A True Toronto Treat!
After reading the menu online my wife and I decided to go there for a late breakfast but very early brunch, even though we did not...",5
I've seen this restaurant around a few locations and my friend told me they have really good food. I finally gave it a try and was not disappointed. The...,4
"This spot comes up consistently as one of the top izakaya in Toronto -- food is good, ambiance is no-frills urban vibe. A def must try!

Highlights:
- udon...",5
"If you're looking for some late night eats during the week, Yuugi is definitely a yummy spot to visit. 

Came here with friends after a comedy show and we...",4
"First time trying Yuugi after suggestions from friends. Overall a great experience, friendly staff/service. Drinks were unique and were well done. Table of...",4
"Excellent food and friendly owner !

Exploring on Queen West and we found this little diner looked popular. It's not just a restaurant, but a cocktail bar...",5
Nuit Social is located on Queen West  near Dufferin. This small intimate restaurant specializes in make your own charcuterie boards and a variety of small...,4
"Tiny, adorable spot recommend by a coworker while visiting our Toronto office. Limited (but delicious and unique) menu options... including a large(r) menu...",5
I had never been to this place as I'm not really a cider drinker. I'm sure if you were it would be even better because they have such a great selection. I...,5
This was my second time coming to this cider bar and restaurant for brunch and I will keep coming back whenever I'm in Toronto. The food is delicious and...,5
"So this is just for the brunch, I wouldn't recommend. It wasn't busy so likely a sign we should of gone elsewhere.
Best part was the freshly squeezed...",2
"I would say Ikkousha Ramen is the best ramen in North America. I've been to Japan several times and I can say Ikkousha Ramen's taste is very authentic.

Be...",5
"Undoubtedly one of the best ramen places. We used to frequent in post pandemic however this was our first time in the new normal. Since then, They now have...",4
"Been here many times and I have tried the signature tonkotsu ramen and recently the gyokai tonkotsu ramen.

To order you get a sheet to fill out all your...",4
"Nice atmosphere 
Food is good. Went during weekday 
Good service, server very helpful. Lots of selection",4
"Service here was amazing! We happen to come by on a live music night, so that was a nice treat! 

It wasn't too busy so we sat comfortably across the open...",3
Came here after work with a friend around 6pm. Surprisingly full on a weekday so we were seated by the bar table. They have a very extensive set of beers on...,3
"AMAZING!!! I highly recommend Chiang Mai for Thai food, it'll satisfy your cravings and everything else you didn't know you wanted. Their Thai iced tea is...",5
"I've been in Toronto for less than a week and I've eaten here twice!This Thai restaurant is tucked in liberty village but it's definitely a gem.

I've only...",5
"I would absolutely come back here. This is authentic Thai food (Danforth). When I say authentic I mean they speak Thai, and their food isn't a caricature of...",5
We were here late evening for some cocktails and really enjoyed overall experience. We also ordered 1Kitchen Dips and it was really amazing!! The prices...,5
It was a cool spot located in a trendy hotel in the trial area. It was not one of those spots that are only well liked by tourist and by people staying in a...,4
"came here for am impromptu dinner and it was delicious. I was fortune to get an awesome booth while I waited for my friend.

while it was a super short...",4
"Seems like everyone's aware that this place is a foodie's conquest. Open only for lunch 12-2 wed-Fri (retail side has dif hours), they may take random days...",5
If you're planning to come here prepare yourself for quite a line; for serious foodies only as this ordeal was not for the faint of heart. Was it worth it?...,5
"It's good but sorry, not worth 2 hours wait? 

Maybe it's better when you eat the pasta on the spot but honestly it didn't feel as good as it should after...",4
"I heard this place was good and considering it was just a block away from my hotel, I had to give this place a try. I came by during a light rainy afternoon...",5
I really enjoyed this place - we were a group of 6 waiting around 45 mins for a table before checking out our friend's show in Yorkville. I've missed...,5
We came here on a weekday evening and were seated at the bar seats. The whole store was packed with people waiting at the door. That's how good this place...,5
"was it umami? definitely.
did it have wok hay? not really. 
was it overpriced chinese food?  basically.
was it authentic? somewhat.
was the interior vibey?...",4
"For a city with the purported diversity that Toronto has, the upper echelons of dining are still mostly populated by Euro-centric restaurants. Within that...",5
"I do think there's a lack of elevated Chinese restaurants in downtown Toronto so I was excited to see one in Toronto.
I went with a group of 6 people and we...",4
"I'm always a fan of trying vegan restaurants and Planta has always been on my list. So glad I came with a few friends to try a variety of dishes!

The GOOD:...",4
This is a mini update for the brunch offering here. After being disappointed with the dinner here somehow I ended here for the brunch. Personally I expect...,3
"Still one of the best vegan restaurants in Toronto. 

Decided to visit on a Saturday morning for brunch with drinks. On sat and sun they offer bottomless...",4
"They give so much food and all the food is amazing. Prices are also very decent. 

The seafood pancake came with a lot of seafood ingredients, and it was...",5
"My friends and I came for early dinner on a Saturday since most of the places in K-town were closed till 5pm. 

The side dishes were a great way to start...",4
"Jin Dal Lae is okay, its home cooked style meals, I went here for some food and it was decent. The reason for my lower star rating is that I found a plastic...",3
I've been wanting to go here for a while and was worried that reservations would be hard to get after they received their Michelin star. Luckily I was able...,5
"Here is my honest opinion about Alo

Made reservations for 5th anniversary. Was only able to get bar seats as dining room seating was fully booked within 3...",3
"From the moment we walked in the door we were pleasantly greeted by the host, who led us into the elevator upstairs to begin our dining experience. We...",5
The food is good. Most if it are just in small portions. The service is good. Staff are nice and friendly. Ambiance is fine.,4
"Having just one night to hop around Toronto, my wife and I made the most of it and visited quite a few places. If my review could only be two sentences, I'd...",5
"A cute cozy bar/restaurant in the heart of the distillery district, serving up Spanish tapas. The copper accents, stone walls, lighting gives it's a nice...",4
"Wow, what a phenomenal place to go. Some of the best AYCE Kbbq and service I've ever experienced! 

Things to know: 

1. It's cash only!!
2. Get on the...",5
Always my absolute go to!! Recommend adding yourself to the wait list before you go so you don't wait for too long. The lines can go up to a 2.5 hr wait on...,5
"The food was great! We ordered thin pork belly, lamb, a lot of beef, cold noodles, butter corn, and other veggies. We ordered a second round and heartily...",4
Excellent service excellent food. The restaurant itself had a great vibe very mellow and laid-back. The food was great and the  presentation was well done....,5
"I've been wanting to try this place for a while simply because of the name (don't ask/look up what it means if you're offended by cursing)!

I visited with...",4
"Came by yesterday and it was pretty busy. So it turns out that Thursday nights are all you can eat taco nights. I was intrigued for sure. 

We had the...",4
"Schnitzel burger was amazing!! They also have thin shoestring fries which I love. 
I asked for mayo on the side and the waiter gave me garlic aioli, which...",5
"Already became one of my favourite places that I would want to go whenever I want to eat out! 
The pork feet is really yummy and the cocktails there too!...",5
Cousin recommended this place and I love a good German beer plus mustard with a buttered pretzel. Unfortunately the sausages are exclusively pork with some...,2
Yummy yummy yummy do know that their menu is a sharing menu. I was pleasantly surprised that everything tasted so good the deep fried eggplant was...,5
"The staff really make this place special. Charming, courteous, and really good at their jobs. Beyond that, the patio is great and while the indoor portion...",4
"Modern Israeli Food @fet_zun 

A delicious taste on Israeli food hits Toronto.

After much hype I was finally able to get out here and check out the menu. A...",5
"We stopped by here for a meal over the weekend and had a really positive experience. 

THE SERVICE:
From the moment I placed the order, to the moment I...",5
"The epitome of a hole in the wall, La Bella Managua may look assuming at first glance, but was completely full when I arrived after peak dinner timing for...",4
"Saw them on blogto for their ceviches so had to come by and try.

Came by on a weekend for dinner for 2 without reservations and were seated right away. It...",3
I love Kinka! The food is amazing and delicious and the vibes are immaculate. I will always have an amazing time dining here with friends. I've been to two...,4
"TLDR: Food quality has deteriorated over the years but still a fun place to grab drinks and some decent food.

I have been going to this location for a few...",3
"Not too sure about all the high reviews but I really wasn't impressed. Salmon natto tartare was probably my favourite thing. The Karaage was okay,...",2
"We had a wonderful experience! The food, drinks, service were better than what I expected. Our server was super friendly and the manager made our first time...",5
Went here based on an online recommendation that had it listed as a great brunch spot with my husband and friends. We made a reservation for the weekend for...,3
"My friend and I went there around 9:30 pm and the place was pretty empty. The staff greeted us nicely and everyone was very friendly. 

My friend ordered a...",4
"Henry's, located near Queen St W and Shaw, is a casual fine dining restaurant where they specialize in global dishes with an extensive wine list (and bottle...",4
"I am thankful for good restaurants that serve good food and give good service.  Basic, right?  So when restaurants go above and beyond to excel at their...",5
I saw this restaurant on someone's Instagram page and wanted to check it out. I'm about to give birth in less than 3 weeks so trying to squeeze in as many...,4
"One of Toronto's best restaurants for game and local fare. 

From the venison, bison, and many other amazing dishes this place is incredible.

The wine...",5
Heard of this place in the news for them being themselves. Sending a bill to Doug Ford for an open keg which they can't use due to flip flopping of covid...,4
The Bison Rib Eye Steak tasted amazing and was very tender. I had the steak cooked medium and it was great. I also enjoyed the Duck Heart Yakitori for the...,5
Great spot and great choices of food and alcohol. The service and atmosphere are always good.,5
"This place is all the vibes.

The interior is small, but cute. The food is amazing. HIGHLY recommend trying the chicken wings, really different from any...",5
"We celebrated our engagement here. It was a very nice dinner, a fine atmosphere, and they brought us champagne!!",5
"Really great stuff. Pretty upscale restaurant overall. Ordered the Parmigiana Di Melanzane - eggplant dish (22), Reginette - wild boar pasta (42),...",5
Food was amazing ! Service was great as well ambiance was perfect Arctic Char Tartar Arugula SaladDuck BigoliBraised Octopus,5
"Do come! For girls night, date night or business meal. 

Great ambiance, interior and decor. 
Staff is incredibly attentive and kind. They actually advised...",5
"I came here for a workplace outing. This particular location is in the middle of nowhere, but the food is excellent. We sat outdoors and the employees were...",5
Over the years I've been to Cherry bbq (the OG and Chefs Hall) a few times. My go to has been their brisket sandwich or plate. Before Covid it was amazing....,3
"Great food at reasonable prices.
Come early they sell out of stuff.
Fun outdoor patio
Stroller friendly",3
"If you're looking for some amazing Thai food, look no further! I came across Khao San road through a friend and so glad that I did! It's a cute Thai spot...",5
"Excellent Thai food and cocktails. Nice space too, slightly pricey. We bumped into the cast of Shantaram here 

Came here for dinner after getting our TT on...",4
"What a showstopper. 

We stopped by for lunch on the recommendation of some locals and very glad we did. 

Atmosphere/ambience: quaint and hip Thai...",5
"The food was 5 stars
Can't go wrong with the tacos
They were delicious 

The sushi was great also

Bento box is great 
Good service 
Go early they get busy",5
We walked into this restaurant for dinner and were lucky to be seated immediately at the 1 table that was available. The restaurant remained busy the entire...,4
"If you love sushi and love tacos, now you can have both at once! 

I stopped by for lunch with a friend on a Friday afternoon and we each got one of their...",4
"I was lucky enough to get an invite to a rooftop party at SOCO. On arrival to the Delta hotel, we saw that there is actually a SOCO restaurant as well on...",4
Perfect spot for a Friday night catchup with my bestie. Stunning unobstructed view of the CN Tower. We came at 730pm thinking it would be packed but little...,4
"Fun, sexy and hip. Those are the words I would use to describe this Toronto spot. It is is the Marriott Delta hotel downtown Toronto. I loved the space,...",4
"Excellent service, ambiance and delicious food.  

Terrific menu suggestions from our waitress.  My guest is a vegetarian and I don't remember what it was...",5
Shops at Don Mills needed a new restaurant and I'm happy it's Anejo! I came here for the first time on a Wednesday evening with a party of 2. It wasn't too...,5
"A newer addition to The Shops at Don Mills, this design-forward, modern Mexican restaurant is a beautiful space and features a huge patio overlooking the...",4
SugarKane is a wonderful Afro-Caribbean spot on the Danforth. The food & drinks are flavourful and very filling! The fried Bake in the Jerk Chicken Sandwich...,5
"The food was sooo good. Well everything I've tried except the chicken and waffles. The fried chicken lacked seasoning and flavour to me, and also the batter...",4
I visited on a Friday evening. Great vibes live DJ and Santa going around giving out goodies. Server was friendly owners came and introduced themselves. We...,3
"Highly recommend for good food and date night! It reminds me of Alobar - I feel like they used a similar music playlist. 

I got:
- sea bream crudo (if you...",5
5 for ambiance and attention to design. We even noticed that the music was at the perfect volume no matter where we were despite being right in front of the...,4
"I will give this place 5 star for the service. The food was just ok. 

Food wise. I would order the
Octopus
Potato flatbread. 
Sea bream app
Drinks -...",5
"This just topped my list of great brunch places!

The bone marrow French toast was just bursting with flavour and went beyond my expectations! Everything...",5
"We came on a rainy Thursday evening, so there were not many customers. Amazing food and great customer service!",4
I LOVE the brunch food here. I'm all for locally sourced food! I've tried the Ace Hill brunch with pork hock (the pork hock is AMAZING) and their infamous...,4
"Best aburi sushi in town! I've been to Miku a bunch, but most recently came for their kaiseki meal (happy holidays and all).

They were super conscientious...",5
It's a Thursday and we had lunch here. Been here many times so no surprise and menu hasn't changed much. Curious that they don't have albacore tuna - Same...,3
We came to celebrate my friends' and my birthday. I've dined here a few times before with a smaller group (2-4 people) and always enjoyed the food. This...,4
Delicious food. The Kamayan feast lived up to all the hype with flavorful meat and the garlic sticky rice was so good I've been searching everywhere for a...,5
"I came here for the Kamayan feast- some context I've never had Kamayan feast in my life so I don't really have anything to compare to.
For $25 I thought...",4
"Great though sometimes fish comes a bit too dry/charred

Small spot but quaint. Recommend the hot bar!",4
"Very Nice place. Clean and staff are good
Food are good. Very efficient and attentive staff",5
"Came here with a friend having Korean food for the first time! We had an awesome meal!

It was a long awaited catch up sesh during lunch. I personally think...",5
"Came here for dinner on Saturday night, expect a long wait on the weekends since this place is quite popular. When you walk in, add your name to the Yelp...",5
"Opium Bar is all about providing quality and delicious Asian inspired tapas along with their unique cocktails. Located at Ossington & Dundas, this spot is...",5
"I had a great night out at The Opium Bar! Between their beautiful interior decor, delicious drinks and snacks- it's a bar you can get comfy in. It's funny...",5
"Cute stop for a cocktail bar hopping night. Their drinks are a bit too sweet for our liking, but I'm always a sucker for the Asian inspired flavours!
We...",4
"When you're in the office and you just want a no-frills, legit shawarma, hummus or falafel, head to the Kebaberie. 

Located in the mall food court, it's a...",4
"Yep, 5 stars. Like another reviewer, the owner seems cranky, but he's really not. Just a dude with a dry sense of humour. He made sure to tease me when I...",5
Ordered the chicken shawarma. It was delicious. They have variety of options including kebabs and shawarma plate. Great place to grab a quick lunch.,4
"Have a side of the pancake  

Have a side of the pancake  

Have a side of the pancake  

Good place for brunch !

Good caesar as well. !!",5
"Well, if you are ever looking for one of the best brunch spots in Toronto, you ought to bring a bit of patience or wake up early for good reason!

Known...",5
"Loved this spot from the moment we walked in the door. It was packed on a Monday so I can imagine the wait on a weekend - worth every minute.

Everyone is...",5
"La Latina 

Came here to celebrate a girlfriends birthday during the weekday and instantly fell in love with the aesthetic's and vibe.. vibrant neon lights/...",5
"Love this midtown location for times that we don't feel like going all the way downtown. 
Drinks are delicious.
Really good food, great vibe and fun live music.",4
"When we walked in the place was packed and we were glad we had a reservation. Even though there was just two of us, we got lucky and they gave us a booth....",5
"This place was extremely underwhelming. 

Secret Sushi - meh, there really wasn't anything magical to be honest. Just sushi options. 

Chicken Karaage - not...",3
"This is the BEST sushi I've had in such a long time . Also the location is superb 

Both rolls were so fresh and the price matches the quality. Surprisingly...",5
"Updated review:

Service was extremely off putting. I will not be returning for a while. I came in today a little before 2:30pm, there was no one there...",1
"LA LA Bakeshop is a modern Vietnamese bakery selling delicious baked goods, cakes, desserts, and even drinks. Located near Bloor and Spadina, this small...",5
"Roll cake : Salty & savory Pork floss, sweet & runny custard, melt in your mouth roll cake. This harmony of all flavours & textures made me savour every...",5
